ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue
281957,The Revenant,2015,4,2016-01-01,False,3.75,13329,157,,135000000,532950503
273248,The Hateful 8,2015,5,2016-01-02,True,3.85,10023,188,,44000000,155760117
9741,Unbreakable,2000,3,2016-01-03,False,3.55,6342,106,,75000000,248118121
141,Donnie Darko,2001,4,2016-01-03,False,3.9,8359,114,,6000000,6979093
24,Kill Bill vol. 1,2003,4,2016-01-03,False,4.0,11979,111,,30000000,180899045
312221,Creed,2015,4,2016-01-03,False,3.7,4890,133,,37000000,173567581
500,Reservoir Dogs,1992,5,2016-01-04,False,4.1,9411,99,,1200000,2859750
393,Kill Bill vol. 2,2004,4,2016-01-04,False,3.95,9606,136,,30000000,152159461
129,Spirited Away,2001,3,2016-01-05,False,4.25,9807,125,,19000000,274925095
935,Dr. Strangelove,1964,3,2016-01-09,False,4.1,3506,95,,1800000,9440272
289,Casablanca,1942,3,2016-01-11,False,4.05,3222,102,,878000,10462500
7735,Die Welle,2008,3,2016-02-02,False,3.8,2145,107,,7500000,19000000
318846,The Big Short,2015,2,2016-02-02,False,3.65,5907,131,,28000000,133346506
5955,The Pledge,2001,2,2016-02-05,False,3.25,538,123,,35000000,29400000
37257,Witness for the Prosecution,1957,5,2016-02-06,False,4.15,691,116,,3000000,9000000
261023,Black Mass,2015,3,2016-02-07,False,3.2,2398,122,,53000000,98837872
1573,Die Hard 2,1990,3,2016-02-08,False,3.45,3652,124,,70000000,240031094
314365,Spotlight ,2015,5,2016-02-08,False,3.9,5918,129,,20000000,88346473
9366,Donnie Brasco,1997,3,2016-02-09,False,3.75,2666,127,,35000000,41954997
293660,Deadpool,2016,5,2016-02-11,True,3.8,23212,108,,58000000,783100000
264644,Room,2015,5,2016-02-14,False,4.05,6662,117,,6000000,35401758
642,Butch Cassidy and the Sundance Kid,1969,5,2016-02-14,False,3.8,1313,111,,6000000,102308889
4771,Gone Baby Gone,2007,4,2016-02-17,False,3.65,2363,113,,19000000,34619699
50348,The Lincoln Lawyer,2011,3,2016-02-19,False,3.55,1869,119,,40000000,85412898
