ID,Genres,Rating,Vote Average
281957,Western,4,3.75
281957,Drama,4,3.75
281957,Adventure,4,3.75
273248,Crime,5,3.85
273248,Drama,5,3.85
273248,Mystery,5,3.85
273248,Western,5,3.85
9741,Thriller,3,3.55
9741,Drama,3,3.55
9741,Mystery,3,3.55
141,Fantasy,4,3.9
141,Drama,4,3.9
141,Mystery,4,3.9
24,Action,4,4.0
24,Crime,4,4.0
312221,Drama,4,3.7
500,Crime,5,4.1
500,Thriller,5,4.1
393,Action,4,3.95
393,Crime,4,3.95
393,Thriller,4,3.95
129,Animation,3,4.25
129,Family,3,4.25
129,Fantasy,3,4.25
935,Drama,3,4.1
935,Comedy,3,4.1
935,War,3,4.1
289,Drama,3,4.05
289,Romance,3,4.05
7735,Drama,3,3.8
7735,Thriller,3,3.8
318846,Comedy,2,3.65
318846,Drama,2,3.65
5955,Crime,2,3.25
5955,Thriller,2,3.25
37257,Drama,5,4.15
37257,Mystery,5,4.15
37257,Crime,5,4.15
261023,Drama,3,3.2
261023,Crime,3,3.2
1573,Action,3,3.45
1573,Thriller,3,3.45
314365,Drama,5,3.9
314365,Thriller,5,3.9
314365,History,5,3.9
9366,Crime,3,3.75
9366,Drama,3,3.75
9366,Thriller,3,3.75
293660,Action,5,3.8
293660,Adventure,5,3.8
293660,Comedy,5,3.8
264644,Drama,5,4.05
264644,Thriller,5,4.05
642,Western,5,3.8
642,Drama,5,3.8
642,Crime,5,3.8
4771,Crime,4,3.65
4771,Drama,4,3.65
4771,Mystery,4,3.65
50348,Crime,3,3.55
50348,Drama,3,3.55
50348,Thriller,3,3.55
111083,Thriller,3,3.85
111083,Mystery,3,3.85
3432,Drama,3,3.45
3432,Crime,3,3.45
3432,Mystery,3,3.45
3432,Thriller,3,3.45
85,Adventure,5,3.95
85,Action,5,3.95
197,Action,5,3.95
197,Drama,5,3.95
197,History,5,3.95
197,War,5,3.95
3580,Crime,4,3.8
3580,Drama,4,3.8
3580,Mystery,4,3.8
10778,Crime,5,3.8
10778,Thriller,5,3.8
87,Adventure,4,3.65
87,Action,4,3.65
11096,Horror,2,3.15
11096,Mystery,2,3.15
11096,Thriller,2,3.15
310131,Mystery,5,3.35
310131,Horror,5,3.35
310131,Drama,5,3.35
55,Drama,3,3.8
55,Thriller,3,3.8
228202,Comedy,1,3.3
209112,Action,3,2.9
209112,Adventure,3,2.9
209112,Fantasy,3,2.9
264660,Drama,5,3.8
264660,SciFi,5,3.8
1598,Thriller,3,3.65
1598,Crime,3,3.65
15472,Drama,4,3.8
15472,Thriller,4,3.8
15472,Crime,4,3.8
15472,Mystery,4,3.8
592,Crime,4,3.8
592,Drama,4,3.8
592,Mystery,4,3.8
333371,Thriller,5,3.45
333371,SciFi,5,3.45
333371,Drama,5,3.45
333371,Horror,5,3.45
1580,Crime,5,4.0
1580,Thriller,5,4.0
223,Drama,4,4.0
223,Mystery,4,4.0
278927,Adventure,5,3.4
278927,Drama,5,3.4
278927,Family,5,3.4
278927,Fantasy,5,3.4
376570,Horror,4,3.35
376570,Thriller,4,3.35
271110,Adventure,4,3.7
271110,Action,4,3.7
271110,SciFi,4,3.7
89,Adventure,4,3.9
89,Action,4,3.9
924,Fantasy,5,3.45
924,Horror,5,3.45
924,Action,5,3.45
924,Drama,5,3.45
49517,Drama,4,3.3
49517,Thriller,4,3.3
49517,Mystery,4,3.3
307081,Action,5,3.7
307081,Drama,5,3.7
521,Crime,5,4.0
521,Thriller,5,4.0
521,Drama,5,4.0
207686,Horror,3,3.25
207686,Drama,3,3.25
207686,Fantasy,3,3.25
207686,Mystery,3,3.25
207686,Thriller,3,3.25
612,Drama,4,3.55
612,Action,4,3.55
612,History,4,3.55
612,Thriller,4,3.55
45317,Drama,4,3.7
10633,Crime,4,3.9
10633,Drama,4,3.9
10633,Mystery,4,3.9
10633,Thriller,4,3.9
277216,Drama,5,3.85
277216,Music,5,3.85
158011,Crime,3,3.35
158011,Thriller,3,3.35
46738,Drama,4,4.05
46738,War,4,4.05
46738,Mystery,4,4.05
1246,Drama,4,3.35
195589,Comedy,4,3.1
1091,Horror,5,4.0
1091,Mystery,5,4.0
1091,SciFi,5,4.0
9426,Horror,4,3.65
9426,SciFi,4,3.65
11423,Crime,4,4.05
11423,Drama,4,4.05
11423,Thriller,4,4.05
259693,Horror,5,3.6
259693,Horror,5,3.6
259693,Mystery,5,3.6
259693,Mystery,5,3.6
259693,Thriller,5,3.6
259693,Thriller,5,3.6
4553,Thriller,5,3.75
4553,Drama,5,3.75
181886,Thriller,4,3.45
181886,Mystery,4,3.45
82633,Crime,4,3.5
82633,Drama,4,3.5
82633,Western,4,3.5
24253,Drama,4,3.5
24253,Action,4,3.5
24253,Thriller,4,3.5
24253,Crime,4,3.5
24253,Mystery,4,3.5
426,Mystery,4,4.1
426,Romance,4,4.1
426,Thriller,4,4.1
23629,Action,3,3.05
23629,Fantasy,3,3.05
23629,Thriller,3,3.05
262,Comedy,5,3.9
262,Drama,5,3.9
451,Drama,4,3.6
451,Romance,4,3.6
11906,Horror,3,3.8
1359,Thriller,4,3.65
1359,Drama,4,3.65
1359,Crime,4,3.65
1359,Horror,4,3.65
207,Drama,4,4.15
164457,Thriller,3,3.25
164457,Drama,3,3.25
164457,Crime,3,3.25
127380,Adventure,4,3.5
127380,Animation,4,3.5
127380,Comedy,4,3.5
127380,Family,4,3.5
6145,Thriller,3,3.65
64690,Drama,5,3.8
64690,Thriller,5,3.8
64690,Crime,5,3.8
1538,Drama,4,3.6
1538,Crime,4,3.6
1538,Thriller,4,3.6
37903,Drama,3,3.75
37903,Mystery,3,3.75
13016,Documentary,3,3.5
13016,History,3,3.5
2118,Crime,4,3.9
2118,Thriller,4,3.9
10734,Crime,3,3.75
10734,Drama,3,3.75
256917,War,3,3.4
256917,Drama,3,3.4
297761,Action,3,2.95
297761,Adventure,3,2.95
297761,Crime,3,2.95
297761,Fantasy,3,2.95
297761,SciFi,3,2.95
1480,Thriller,4,3.9
1480,Crime,4,3.9
290250,Comedy,4,3.55
290250,Crime,4,3.55
290250,Action,4,3.55
968,Crime,5,3.9
968,Drama,5,3.9
968,Thriller,5,3.9
11368,Crime,3,3.7
11368,Drama,3,3.7
11368,Thriller,3,3.7
321741,Drama,4,3.55
855,Action,4,3.65
