ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue,Overview
281957,The Revenant,2015,4,2016-01-01,False,3.75,13422,157,Western|Drama|Adventure,135000000,532950503,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling."
273248,The Hateful 8,2015,5,2016-01-02,True,3.85,10124,188,Crime|Drama|Mystery|Western,44000000,155760117,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.
9741,Unbreakable,2000,3,2016-01-03,False,3.55,6409,106,Thriller|Drama|Mystery,75000000,248118121,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead — and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass."
141,Donnie Darko,2001,4,2016-01-03,False,3.9,8450,114,Fantasy|Drama|Mystery,6000000,6979093,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes."
24,Kill Bill vol. 1,2003,4,2016-01-03,False,4.0,12110,111,Action|Crime,30000000,180899045,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance."
312221,Creed,2015,4,2016-01-03,False,3.7,4938,133,Drama,37000000,173567581,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
500,Reservoir Dogs,1992,5,2016-01-04,False,4.1,9534,99,Crime|Thriller,1200000,2859750,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel."
393,Kill Bill vol. 2,2004,4,2016-01-04,False,3.95,9698,136,Action|Crime|Thriller,30000000,152159461,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill."
129,Spirited Away,2001,3,2016-01-05,False,4.25,9961,125,Animation|Family|Fantasy,19000000,274925095,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."
935,Dr. Strangelove,1964,3,2016-01-09,False,4.1,3566,95,Drama|Comedy|War,1800000,9440272,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike."
289,Casablanca,1942,3,2016-01-11,False,4.05,3276,102,Drama|Romance,878000,10462500,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications."
7735,Die Welle,2008,3,2016-02-02,False,3.8,2163,107,Drama|Thriller,7500000,19000000,A school teacher discusses types of government with his class. His students find it too boring to repeatedly go over national socialism and believe that dictatorship cannot be established in modern Germany. He starts an experiment to show how easily the masses can become manipulated.
318846,The Big Short,2015,2,2016-02-02,False,3.65,5979,131,Comedy|Drama,28000000,133346506,The men who made millions from a global economic meltdown.
5955,The Pledge,2001,2,2016-02-05,False,3.25,544,123,Crime|Thriller,35000000,29400000,A police chief about to retire pledges to help a woman find her daughter's killer. Based on a story by Swiss writer Friedrich Dürrenmatt.
37257,Witness for the Prosecution,1957,5,2016-02-06,False,4.15,705,116,Drama|Mystery|Crime,3000000,9000000,"When Leonard Vole is arrested for the sensational murder of a rich, middle-aged widow, the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid, recovering from a near-fatal heart attack, is supposed to be on a diet of bland, civil suits—but the lure of the criminal courts is too much for him, especially when the case is so difficult."
261023,Black Mass,2015,3,2016-02-07,False,3.2,2418,122,Drama|Crime,53000000,98837872,"The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf."
1573,Die Hard 2,1990,3,2016-02-08,False,3.45,3698,124,Action|Thriller,70000000,240031094,"Off-duty cop John McClane is gripped with a feeling of déjà vu when, on a snowy Christmas Eve in the nation’s capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane’s smart-mouthed heroics."
314365,Spotlight ,2015,5,2016-02-08,False,3.9,5977,129,Drama|Thriller|History,20000000,88346473,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
9366,Donnie Brasco,1997,3,2016-02-09,False,3.75,2717,147,Crime|Drama|Thriller,35000000,41954997,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.
293660,Deadpool,2016,5,2016-02-11,True,3.8,23392,108,Action|Adventure|Comedy,58000000,783100000,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life."
