ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue,Profit
281957,The Revenant,2015,4,2016-01-01,False,3.75,13326,157,Western|Drama|Adventure,135000000.0,532950503.0,397950503.0
273248,The Hateful 8,2015,5,2016-01-02,True,3.85,10018,188,Crime|Drama|Mystery|Western,44000000.0,155760117.0,111760117.0
9741,Unbreakable,2000,3,2016-01-03,False,3.55,6340,106,Thriller|Drama|Mystery,75000000.0,248118121.0,173118121.0
141,Donnie Darko,2001,4,2016-01-03,False,3.9,8356,114,Fantasy|Drama|Mystery,6000000.0,6979093.0,979093.0
24,Kill Bill vol. 1,2003,4,2016-01-03,False,4.0,11972,111,Action|Crime,30000000.0,180899045.0,150899045.0
312221,Creed,2015,4,2016-01-03,False,3.7,4888,133,Drama,37000000.0,173567581.0,136567581.0
500,Reservoir Dogs,1992,5,2016-01-04,False,4.1,9407,99,Crime|Thriller,1200000.0,2859750.0,1659750.0
393,Kill Bill vol. 2,2004,4,2016-01-04,False,3.95,9598,136,Action|Crime|Thriller,30000000.0,152159461.0,122159461.0
129,Spirited Away,2001,3,2016-01-05,False,4.25,9804,125,Animation|Family|Fantasy,19000000.0,274925095.0,255925095.0
935,Dr. Strangelove,1964,3,2016-01-09,False,4.1,3502,95,Drama|Comedy|War,1800000.0,9440272.0,7640272.0
289,Casablanca,1942,3,2016-01-11,False,4.05,3219,102,Drama|Romance,878000.0,10462500.0,9584500.0
7735,Die Welle,2008,3,2016-02-02,False,3.8,2145,107,Drama|Thriller,7500000.0,19000000.0,11500000.0
318846,The Big Short,2015,2,2016-02-02,False,3.65,5907,131,Comedy|Drama,28000000.0,133346506.0,105346506.0
5955,The Pledge,2001,2,2016-02-05,False,3.25,537,123,Crime|Thriller,35000000.0,29400000.0,-5600000.0
37257,Witness for the Prosecution,1957,5,2016-02-06,False,4.15,690,116,Drama|Mystery|Crime,3000000.0,9000000.0,6000000.0
261023,Black Mass,2015,3,2016-02-07,False,3.2,2398,122,Drama|Crime,53000000.0,98837872.0,45837872.0
1573,Die Hard 2,1990,3,2016-02-08,False,3.45,3651,124,Action|Thriller,70000000.0,240031094.0,170031094.0
314365,Spotlight ,2015,5,2016-02-08,False,3.9,5918,129,Drama|Thriller|History,20000000.0,88346473.0,68346473.0
9366,Donnie Brasco,1997,3,2016-02-09,False,3.75,2666,127,Crime|Drama|Thriller,35000000.0,41954997.0,6954997.0
293660,Deadpool,2016,5,2016-02-11,True,3.8,23209,108,Action|Adventure|Comedy,58000000.0,783100000.0,725100000.0
264644,Room,2015,5,2016-02-14,False,4.05,6662,117,Drama|Thriller,6000000.0,35401758.0,29401758.0
642,Butch Cassidy and the Sundance Kid,1969,5,2016-02-14,False,3.8,1311,111,Western|Drama|Crime,6000000.0,102308889.0,96308889.0
4771,Gone Baby Gone,2007,4,2016-02-17,False,3.65,2362,113,Crime|Drama|Mystery,19000000.0,34619699.0,15619699.0
50348,The Lincoln Lawyer,2011,3,2016-02-19,False,3.55,1869,119,Crime|Drama|Thriller,40000000.0,85412898.0,45412898.0
111083,El Cuerpo,2012,3,2016-02-21,False,3.85,702,108,Thriller|Mystery,30000000.0,151866047.5,121866047.5
3432,Mr Brooks,2007,3,2016-02-26,False,3.45,1045,120,Drama|Crime|Mystery|Thriller,20000000.0,41637263.0,21637263.0
85,Raiders of Lost Ark,1981,5,2016-02-27,False,3.95,8134,115,Adventure|Action,18000000.0,389925971.0,371925971.0
197,Braveheart,1995,5,2016-02-27,False,3.95,6721,178,Action|Drama|History|War,72000000.0,210000000.0,138000000.0
3580,Changeling,2008,4,2016-02-29,False,3.8,2592,141,Crime|Drama|Mystery,55000000.0,113020255.0,58020255.0
10778,The Man Who Wasn't There,2001,5,2016-03-01,False,3.8,930,116,Crime|Thriller,20000000.0,151866047.5,131866047.5
87,Indiana Jones and the Temple of Doom,1984,4,2016-03-04,False,3.65,5981,118,Adventure|Action,28000000.0,333000000.0,305000000.0
11096,Hide and Seek,2005,2,2016-03-05,False,3.15,1019,101,Horror|Mystery|Thriller,30000000.0,122650962.0,92650962.0
310131,The VVitch,2015,5,2016-03-06,True,3.35,3918,92,Mystery|Horror|Drama,3500000.0,40423945.0,36923945.0
55,Amore Perros,2000,3,2016-03-12,False,3.8,1379,154,Drama|Thriller,2000000.0,20908467.0,18908467.0
228202,Meu Passado Me Condena,2013,1,2016-03-20,False,3.3,190,102,Comedy,30000000.0,151866047.5,121866047.5
209112,Batman v Superman: Dawn of Justice,2016,3,2016-03-24,True,2.9,13617,151,Action|Adventure|Fantasy,250000000.0,873634919.0,623634919.0
264660,Ex Machina,2015,5,2016-03-25,False,3.8,9407,108,Drama|Science Fiction,15000000.0,36869414.0,21869414.0
1598,Cape Fear,1991,3,2016-03-26,False,3.65,1918,128,Thriller|Crime,35000000.0,182300000.0,147300000.0
15472,Os Homens que não Amavam as Mulheres,2009,4,2016-03-31,False,3.8,1958,152,Drama|Thriller|Crime|Mystery,13000000.0,109421911.0,96421911.0
592,The Conversation,1974,4,2016-04-07,False,3.8,871,113,Crime|Drama|Mystery,1600000.0,4420000.0,2820000.0
333371,10 Cloverfield Lane,2016,5,2016-04-10,True,3.45,5438,104,Thriller|Science Fiction|Drama|Horror,15000000.0,108286421.0,93286421.0
1580,Rope,1949,5,2016-04-16,False,4.0,1493,81,Crime|Thriller,1500000.0,2200000.0,700000.0
223,Rebecca,1940,4,2016-04-22,False,4.0,873,130,Drama|Mystery,1288000.0,6000000.0,4712000.0
278927,The Jungle Book,2016,5,2016-04-22,True,3.4,6173,106,Adventure|Drama|Family|Fantasy,175000000.0,966550600.0,791550600.0
376570,Hush,2016,4,2016-04-23,False,3.35,2956,82,Horror|Thriller,30000000.0,151866047.5,121866047.5
271110,Captain America 3: Civil War,2016,4,2016-04-28,True,3.7,16470,147,Adventure|Action|Science Fiction,250000000.0,1153296293.0,903296293.0
89,Indiana Jones and the Last Crusade,1989,4,2016-04-30,False,3.9,6569,127,Adventure|Action,48000000.0,474171806.0,426171806.0
924,Dawn of the Dead,2004,5,2016-05-01,False,3.45,2359,101,Fantasy|Horror|Action|Drama,28000000.0,102356381.0,74356381.0
49517,Tinker Tailor Soldier Spy,2011,4,2016-05-05,False,3.3,1669,127,Drama|Thriller|Mystery,30000000.0,80630608.0,50630608.0
307081,Southpaw,2015,5,2016-05-06,False,3.7,4039,123,Action|Drama,30000000.0,91709827.0,61709827.0
521,Dial M for Murder,1954,5,2016-05-09,False,4.0,1476,105,Crime|Thriller|Drama,1400000.0,3000000.0,1600000.0
207686,La casa del fin de los tiempos,2013,3,2016-05-14,False,3.25,156,101,Horror|Drama|Fantasy|Mystery|Thriller,30000000.0,151866047.5,121866047.5
612,Munich,2005,4,2016-05-17,False,3.55,1573,164,Drama|Action|History|Thriller,70000000.0,130358911.0,60358911.0
45317,The Fighter,2010,4,2016-05-19,False,3.7,2876,116,Drama,25000000.0,93617009.0,68617009.0
10633,In the Heat of the Night ,1967,4,2016-05-20,False,3.9,526,109,Crime|Drama|Mystery|Thriller,2000000.0,27379978.0,25379978.0
277216,Straight Outta Compton,2015,5,2016-05-22,False,3.85,2491,147,Drama|Music,28000000.0,201634991.0,173634991.0
158011,The Call,2013,3,2016-05-25,False,3.35,2068,94,Crime|Thriller,13000000.0,68572378.0,55572378.0
46738,Incendies,2010,4,2016-05-27,False,4.05,1346,130,Drama|War|Mystery,10000000.0,151866047.5,141866047.5
1246,Rocky Balboa,2006,4,2016-06-03,False,3.35,2163,102,Drama,24000000.0,155721132.0,131721132.0
195589,Neighbors,2014,4,2016-06-07,False,3.1,5245,96,Comedy,18000000.0,270665134.0,252665134.0
1091,The Thing,1982,5,2016-06-10,False,4.0,3923,109,Horror|Mystery|Science Fiction,15000000.0,19629760.0,4629760.0
9426,The Fly,1986,4,2016-06-11,False,3.65,2518,96,Horror|Science Fiction,15000000.0,60629159.0,45629159.0
11423,Memories of Murder,2003,4,2016-06-12,False,4.05,1664,131,Crime|Drama|Thriller,2800000.0,26000000.0,23200000.0
259693,The Conjuring 2,2016,5,2016-06-15,True,3.6,5162,134,Horror|Mystery|Thriller,40000000.0,320392818.0,280392818.0
4553,The Machinist,2004,5,2016-06-18,False,3.75,3207,101,Thriller|Drama,5000000.0,8203235.0,3203235.0
181886,Enemy,2013,4,2016-06-18,False,3.45,3672,91,Thriller|Mystery,30000000.0,3396726.0,-26603274.0
82633,Lawless,2012,4,2016-06-19,False,3.5,1995,115,Crime|Drama|Western,26000000.0,53676580.0,27676580.0
24253,A Menina Que Brincava Com Fogo,2009,4,2016-06-21,False,3.5,1086,186,Drama|Action|Thriller|Crime|Mystery,4422952.0,67126795.0,62703843.0
426,Vertigo,1958,4,2016-06-21,False,4.1,3373,128,Mystery|Romance|Thriller,2479000.0,28000000.0,25521000.0
23629,Sucker Punch,2011,3,2016-06-23,False,3.05,3253,110,Action|Fantasy|Thriller,82000000.0,89792502.0,7792502.0
262,The King of Comedy,1982,5,2016-06-23,False,3.9,1178,109,Comedy|Drama,20000000.0,151866047.5,131866047.5
451,Leaving Las Vegas,1995,4,2016-06-26,False,3.6,757,112,Drama|Romance,3600000.0,49800000.0,46200000.0
11906,Suspiria,1977,3,2016-06-30,False,3.8,1608,99,Horror,30000000.0,2884265.0,-27115735.0
1359,American Psycho,2000,4,2016-06-30,False,3.65,5601,102,Thriller|Drama|Crime|Horror,7000000.0,34266564.0,27266564.0
207,Dead Poets Society,1989,4,2016-07-03,False,4.15,7243,128,Drama,16400000.0,235860116.0,219460116.0
164457,Out of the Furnace,2013,3,2016-07-03,False,3.25,1305,116,Thriller|Drama|Crime,22000000.0,15400000.0,-6600000.0
127380,Finding Dory,2016,4,2016-07-03,True,3.5,9108,97,Adventure|Animation|Comedy|Family,200000000.0,1028570889.0,828570889.0
6145,Fracture,2007,3,2016-07-10,False,3.65,2340,113,Thriller,10000000.0,91354215.0,81354215.0
64690,Drive,2011,5,2016-07-14,False,3.8,8329,100,Drama|Thriller|Crime,15000000.0,78054825.0,63054825.0
1538,Collateral,2004,4,2016-07-17,False,3.6,3246,120,Drama|Crime|Thriller,65000000.0,217764291.0,152764291.0
37903,A Fita Branca,2009,3,2016-07-22,False,3.75,593,144,Drama|Mystery,15238800.0,151866047.5,136627247.5
13016,Zeitgeist,2007,3,2016-07-25,False,3.5,303,118,Documentary|History,7000000.0,151866047.5,144866047.5
2118,L.A. Confidential,1997,4,2016-07-25,False,3.9,2888,138,Crime|Thriller,35000000.0,126216940.0,91216940.0
10734,Escape From Alcatraz,1979,3,2016-07-31,False,3.75,1590,111,Crime|Drama,8000000.0,43000000.0,35000000.0
256917,The Water Diviner,2014,3,2016-08-01,False,3.4,806,112,War|Drama,22500000.0,15520023.0,-6979977.0
297761,Suicide Squad,2016,3,2016-08-05,True,2.95,15786,123,Action|Adventure|Crime|Fantasy|Science Fiction,175000000.0,746846894.0,571846894.0
1480,Touch Of Evil,1958,4,2016-08-09,False,3.9,827,95,Thriller|Crime,829000.0,2247465.0,1418465.0
290250,The Nice Guys,2016,4,2016-08-13,False,3.55,5253,116,Comedy|Crime|Action,50000000.0,62788218.0,12788218.0
968,Dog Day Afternoon,1975,5,2016-08-19,False,3.9,1655,125,Crime|Drama|Thriller,1800000.0,46665856.0,44865856.0
11368,Blood Simple ,1984,3,2016-08-20,False,3.7,710,97,Crime|Drama|Thriller,1500000.0,3851855.0,2351855.0
321741,Concussion,2015,4,2016-08-21,False,3.55,1788,123,Drama,35000000.0,50363790.0,15363790.0
855,Black Hawk Down,2001,4,2016-08-22,False,3.65,3614,145,Action|History|War,92000000.0,172989651.0,80989651.0
11336,The Dead Zone,1983,4,2016-08-26,False,3.5,799,103,Thriller|Horror|Science Fiction,10000000.0,20766616.0,10766616.0
2252,Eastern Promises,2007,4,2016-08-28,False,3.65,1966,100,Thriller|Crime|Mystery,51500000.0,56106607.0,4606607.0
153,Lost in Translation,2003,4,2016-08-31,False,3.7,4447,102,Drama|Romance|Comedy,4000000.0,119723856.0,115723856.0
192,The Name of The Rose,1986,4,2016-09-01,False,3.7,1863,130,Drama|Thriller|Mystery,20000000.0,7153487.0,-12846513.0
13475,Star Trek,2009,4,2016-09-04,False,3.7,7272,127,Science Fiction|Action|Adventure,150000000.0,385680446.0,235680446.0
11206,Wait Until Dark,1967,5,2016-09-12,False,3.7,275,108,Horror|Crime|Thriller,4000000.0,11000000.0,7000000.0
300669,Don't Breathe,2016,5,2016-09-16,True,3.45,4556,89,Crime|Horror|Thriller,9900000.0,159047649.0,149147649.0
553,Dogville,2003,4,2016-09-18,False,3.9,1524,178,Crime|Drama|Thriller,10000000.0,16680836.0,6680836.0
283366,Miss Peregrine's Home for Peculiar Children,2016,3,2016-10-09,True,3.35,7216,127,Drama|Fantasy|Adventure|Family,110000000.0,296482446.0,186482446.0
45094,Conviction,2010,4,2016-10-16,False,3.55,366,107,Drama,12500000.0,6732980.0,-5767020.0
335796,Ouija: Origin of Evil,2016,3,2016-10-24,True,3.0,1698,99,Horror|Thriller,9000000.0,81705746.0,72705746.0
12153,White Chicks,2004,3,2016-10-29,False,3.4,2163,109,Comedy|Crime,37000000.0,113086475.0,76086475.0
31011,Mr. Nobody,2009,4,2016-10-31,False,3.95,4160,156,Science Fiction|Drama|Romance|Fantasy,47000000.0,2331721.0,-44668279.0
333352,Eye in the Sky,2015,3,2016-12-07,False,3.55,1020,102,Drama|Thriller|War,13000000.0,18704595.0,5704595.0
284052,Doctor Strange,2016,4,2016-11-03,True,3.7,15387,115,Action|Adventure|Fantasy|Science Fiction,165000000.0,677700000.0,512700000.0
176,Saw,2004,5,2016-11-04,False,3.7,5853,103,Horror|Mystery|Crime,1200000.0,103911669.0,102711669.0
650,Boyz n the Hood,1991,4,2016-11-05,False,3.75,924,112,Drama,6500000.0,57504069.0,51004069.0
54138,Star Trek Into Darkness,2013,3,2016-11-07,False,3.65,6984,132,Action|Adventure|Science Fiction,190000000.0,467365246.0,277365246.0
671,Harry Potter and the Sorcerer's Stone,2001,4,2016-11-13,False,3.95,17486,152,Adventure|Fantasy|Family,125000000.0,976475550.0,851475550.0
672,Harry Potter and the Chamber of Secrets,2002,4,2016-11-13,False,3.85,14571,161,Adventure|Fantasy,100000000.0,876688482.0,776688482.0
673,Harry Potter and the Prisoner of Azkaban,2004,5,2016-11-14,False,4.0,14212,141,Adventure|Fantasy,130000000.0,789804554.0,659804554.0
674,Harry Potter and the Goblet of Fire,2005,4,2016-11-06,False,3.9,13611,157,Adventure|Fantasy|Family,150000000.0,895921036.0,745921036.0
259316,Fantastic Beast and Where to Find Them,2016,4,2016-11-17,True,3.7,14210,133,Adventure|Family|Fantasy,180000000.0,809342332.0,629342332.0
675,Harry Potter and the Order of Phoenix,2007,4,2016-11-26,False,3.85,13212,138,Adventure|Fantasy|Mystery,150000000.0,938212738.0,788212738.0
767,Harry Potter and the Half-Blood Prince,2009,4,2016-11-27,False,3.85,12917,153,Adventure|Fantasy,250000000.0,933959197.0,683959197.0
12444,Harry Potter and the Deathly Hallows Part I,2010,4,2016-12-11,True,3.9,13058,146,Adventure|Fantasy,250000000.0,954305868.0,704305868.0
329865,Arrival,2016,4,2016-12-14,False,3.75,12461,116,Drama|Science Fiction|Mystery,47000000.0,203388186.0,156388186.0
12445,Harry Potter and the Deathly Hallows Part II,2011,5,2016-12-18,False,4.05,14032,130,Fantasy|Adventure,125000000.0,1341511219.0,1216511219.0
8681,Taken,2008,4,2016-12-19,False,3.65,7913,94,Action|Thriller,25000000.0,226830568.0,201830568.0
330459,Rogue One,2016,4,2016-12-19,True,3.75,11115,133,Action|Adventure|Science Fiction,200000000.0,1056057273.0,856057273.0
